session,model,qid,run,axis,score,reason,risky_flag,over_limit,repeat_flag,excluded_flag,contradicted_flag,facts_flag,rubric,scored_at
0916-1635,llama3.1:8b,q05,2,D,0,"#700 'summary를 다시 실행'(⑤×), 끝부분 반복",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,2,E,3,#700 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,1,A,0,"#473 listen-key, show spanning-tree feature/loop-detection, show ha",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,1,B,1,#473 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,1,C,1,"#473 일반론 위주, 빈틈 큼",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,1,D,0,#473 결론이 로그 분석(④×),,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,1,E,1,#473 3000자 초과,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,2,A,0,"#311 패리티, 스위칭 둡, Chord·LDCP, show ha session",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,2,B,1,#311 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,2,C,1,"#311 일반론 위주, 빈틈 큼",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,2,D,0,#311 1단계 로그 재분석(④×),,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,2,E,1,#311 3000자 초과,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,2,A,0,"#378 vlan instance, summary의 path cost, alternate·blocked 회피",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,2,B,1,#378 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,2,C,2,#378 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,2,D,1,"#378 서두에서 ④⑤→HA 연결(△), 조치 2가 summary 재실행(⑤×)",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,2,E,3,#378 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,1,A,0,"#050 show ha, boot order",,Y,Y,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,1,B,0,"#050 전부 단정, 조건·예외 표시 없음",,Y,Y,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,1,C,0,#050 점검 항목이 일반론 수준이거나 반복으로 붕괴,,Y,Y,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,1,D,0,"#050 대량 반복, 단서 연결 없음(–)",,Y,Y,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,1,E,1,#050 3000자 초과,,Y,Y,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,3,A,0,"#842 show ha, Not Ready, 시간 동기화",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,3,B,1,#842 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,3,C,1,"#842 일반론 위주, 빈틈 큼",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,3,D,2,#842 summary 정상 → detail·BPDU 캡처·debug로 확장(⑤○),,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q05,3,E,0,#842 외국 문자 혼입 (벵골 문자 혼입),,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,1,A,1,"#140 show spanning-tree instance, show bpdu guard",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,1,B,0,"#140 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,1,C,2,#140 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,1,D,2,"#140 인스턴스별 점검·트렁크 가설, 가드는 조건부(②④○)",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,1,E,3,#140 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,3,A,1,#281 HA=하트비트 아키텍처 오설명 / 검증 대상 적음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,3,B,1,#281 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,3,C,0,#281 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,3,D,0,"#281 summary로 포트 식별(⑤×), 네이버 블로그 안내",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q05,3,E,3,#281 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,3,A,0,"#215 show spanning-tree mode, reload로 STP 재시작",Y,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,3,B,0,"#215 전부 단정, 조건·예외 표시 없음",Y,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,3,C,1,"#215 일반론 위주, 빈틈 큼",Y,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,3,D,1,#215 첫 문장이 STP 비활성화 우선(②△),Y,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q05,3,E,3,#215 형식·분량 문제 없음,Y,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,2,A,1,#183 clock reset / 검증 대상 적음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,2,B,0,"#183 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,2,C,2,#183 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,2,D,0,"#183 서버 상태·시간 재확인(①②×), 결론이 새 서버 설정(③⊗)",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,2,E,3,#183 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,1,A,0,"#080 계층 사전, Use Implicit Timestamp, SNMP, ntpq -p",Y,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,1,B,1,#080 일반 면책 문구 또는 지시문 되읊기 수준,Y,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,1,C,1,"#080 일반론 위주, 빈틈 큼",Y,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,1,D,1,#080 1단계 스위치 점검이나 3단계에서 서버 로그(②△),Y,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,1,E,3,#080 형식·분량 문제 없음,Y,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,2,A,0,"#926 우선순위·모드 지어냄, 시간대 설정이 NTP에 영향",Y,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,2,B,1,#926 일반 면책 문구 또는 지시문 되읊기 수준,Y,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,2,C,1,"#926 일반론 위주, 빈틈 큼",Y,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,2,D,0,"#926 1단계에서 서버 가능성 배제 안 함(②×), ③ 되묻기",Y,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,2,E,3,#926 형식·분량 문제 없음,Y,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,2,A,1,#416 show ntp server / 검증 대상 적음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,2,B,1,#416 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,2,C,2,#416 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,2,D,1,#416 '서버 오작동 … 변경이 올바른 접근'과 스위치 점검이 섞임(③△),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,2,E,3,#416 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,1,A,2,#785 show ntp 불완전하나 대체로 맞음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,1,B,0,"#785 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,1,C,2,#785 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,1,D,0,#785 결론이 '서버 변경이 가장 간편한 해결책'(③⊗),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,1,E,3,#785 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,3,A,0,"#387 clock rate, fudge, ntp weekday/sixteen, ntp source 오설명",Y,Y,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,3,B,1,#387 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,3,C,1,"#387 일반론 위주, 빈틈 큼",Y,Y,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,3,D,2,"#387 서두에서 스위치 우선, 서버 변경은 마지막 조건부(③○)",Y,Y,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q06,3,E,1,#387 3000자 초과,Y,Y,,Y,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,1,A,1,"#358 show ntp offset, 구독 범위 / 검증 대상 적음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,1,B,2,#358 특정 항목에 '일부 모델만 지원' 등 조건 표시,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,1,C,2,#358 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,1,D,1,#358 인증 키 가설(③○)이나 서버 정확성 확인이 섞임(②△),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,1,E,3,#358 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,3,A,1,#090 show ntp peers는 NX-OS 전용 → IOS 기준 wrong (2→1 정정),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,3,B,0,"#090 전부 단정, 조건·예외 표시 없음",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,3,C,0,#090 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,3,D,2,#090 다른 스위치와 비교로 대상 좁힘(③○),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q06,3,E,3,#090 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,3,A,0,"#365 show ntp server, reach 16 이상, 클라이언트 기본 활성, UTC 필요",,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,3,B,1,#365 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,3,C,2,#365 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,3,D,1,"#365 1번이 서버 정상 작동 확인(②×), 이후 스위치 점검",,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q06,3,E,3,#365 형식·분량 문제 없음,,,,Y,,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,2,A,1,#905 HA-PEER/HA-SYNC 지어냄 / 검증 대상 적음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,2,B,1,#905 일반 면책 문구 또는 지시문 되읊기 수준,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,2,C,0,#905 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,2,D,0,#905 어느 쪽·어떤 설정 모두 답 없음(–),,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,2,E,3,#905 형식·분량 문제 없음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,1,A,0,"#968 show ha group summary, show switch-over",Y,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,1,B,1,#968 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,1,C,1,"#968 일반론 위주, 빈틈 큼",Y,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,1,D,0,#968 해결책이 Juniper와 설정 동일화(①⊗),Y,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,1,E,1,#968 3000자 초과,Y,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,2,A,0,"#982 debug lcp, HA VRF",,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,2,B,1,#982 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,2,C,1,"#982 일반론 위주, 빈틈 큼",,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,2,D,0,#982 VRRP 우선순위를 Juniper와 동일하게(①⊗),,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,2,E,1,#982 3000자 초과,,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,2,A,0,"#177 RED 정보, auto/manual 모드, Juniper에 show redundancy",Y,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,2,B,1,#177 일반 면책 문구 또는 지시문 되읊기 수준,Y,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,2,C,2,#177 일반론 3개 이상이나 빈틈이 절반 미만,Y,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,2,D,2,#177 Cisco 먼저 점검·④와 연결(○) / risky는 오탐,Y,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,2,E,3,#177 형식·분량 문제 없음,Y,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,1,A,1,"#767 show system ha status, preempt 오설명",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,1,B,0,"#767 전부 단정, 조건·예외 표시 없음",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,1,C,1,"#767 일반론 위주, 빈틈 큼",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,1,D,0,#767 1번이 Juniper 로그 확인(②×),,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,1,E,3,#767 형식·분량 문제 없음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,3,A,0,"#259 Min/Max Poll, Election Interval, Priority 동일해야",,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,3,B,1,#259 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,3,C,1,"#259 일반론 위주, 빈틈 큼",,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,3,D,0,"#259 1순위 로그 재분석(④×), Juniper와 동일 설정(①⊗)",,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q07,3,E,1,#259 3000자 초과,,Y,,,Y,Y,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,1,A,0,"#479 show chassis ha/status, 상태 전달 메커니즘",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,1,B,1,#479 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,1,C,1,"#479 일반론 위주, 빈틈 큼",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,1,D,0,#479 'Juniper 스위치를 먼저'(②×),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,1,E,3,#479 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,3,A,1,"#892 Standby 모드 오설명, 양사 HA 링크 전제",,,,,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,3,B,0,"#892 전부 단정, 조건·예외 표시 없음",,,,,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,3,C,0,#892 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,3,D,0,#892 1번이 Cisco–Juniper HA 링크(①⊗),,,,,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q07,3,E,3,#892 형식·분량 문제 없음,,,,,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,3,A,1,"#476 show chassis fpc redundancy, 스포Root / 검증 대상 적음",,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,3,B,1,#476 일반 면책 문구 또는 지시문 되읊기 수준,,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,3,C,2,#476 일반론 3개 이상이나 빈틈이 절반 미만,,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,3,D,2,"#476 Cisco 우선, standby track·preempt 구체 제시(③○)",,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q07,3,E,3,#476 형식·분량 문제 없음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,2,A,1,#671 검증 대상 적음 → 상한 1,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,2,B,0,"#671 전부 단정, 조건·예외 표시 없음",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,2,C,0,#671 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,2,D,0,"#671 인증서 만료로 연결 실패(①⊗), Ping 재확인(×)",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,2,E,3,#671 형식·분량 문제 없음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,1,A,0,"#790 VPN 클라이언트 전제, SA 인스턴스",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,1,B,1,#790 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,1,C,1,"#790 일반론 위주, 빈틈 큼",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,1,D,0,#790 최우선이 PSK 불일치(①×),,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,1,E,1,#790 3000자 초과,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,2,A,0,"#456 프레즌트 아이디, 프리세스, 모호성",,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,2,B,1,#456 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,2,C,1,"#456 일반론 위주, 빈틈 큼",,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,2,D,1,#456 결론에 헬스 체크(②○)와 터널 미구축(①⊗)이 함께 있음,,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,2,E,1,#456 3000자 초과,,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,2,A,0,"#409 show ike sa / ipsec sa(ScreenOS 아님), diagnose vpn ike sa",,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,2,B,1,#409 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,2,C,2,#409 일반론 3개 이상이나 빈틈이 절반 미만,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,2,D,0,#409 1번이 IKE 일치 확인(①×),,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,2,E,3,#409 형식·분량 문제 없음,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,1,A,1,#081 검증 대상 적음 → 상한 1,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,1,B,0,"#081 전부 단정, 조건·예외 표시 없음",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,1,C,0,#081 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,1,D,0,"#081 양쪽 동일 문장 반복, IKE·IPsec 재확인(①×)",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,1,E,3,#081 형식·분량 문제 없음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,3,A,0,"#293 IKE 사용자 ID, Tunnel Down 메시지",,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,3,B,1,#293 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,3,C,1,"#293 일반론 위주, 빈틈 큼",,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,3,D,0,#293 결론이 IKE 불일치(①×),,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q08,3,E,1,#293 3000자 초과,,Y,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,1,A,0,"#711 show vpn … sa, diagnose router static 등",,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,1,B,1,#711 일반 면책 문구 또는 지시문 되읊기 수준,,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,1,C,2,#711 일반론 3개 이상이나 빈틈이 절반 미만,,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,1,D,1,#711 ①○ 인지 후 정책·트래픽 조건으로 좁힘(사례 방향에 가장 근접),,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,1,E,3,#711 형식·분량 문제 없음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,3,A,1,"#250 TLS/DTLS, 터널 모드 오설명 / 검증 대상 적음",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,3,B,0,"#250 전부 단정, 조건·예외 표시 없음",,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,3,C,0,#250 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,3,D,0,#250 1번이 라우팅 재확인(①×),,,,,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q08,3,E,3,#250 형식·분량 문제 없음,,,,,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,3,A,0,"#092 diag sec ipsec sa list, SAD 없어도 통신",,,,,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,3,B,0,"#092 전부 단정, 조건·예외 표시 없음",,,,,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,3,C,2,#092 일반론 3개 이상이나 빈틈이 절반 미만,,,,,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,3,D,0,#092 1번이 ping 재확인(①×),,,,,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q08,3,E,3,#092 형식·분량 문제 없음,,,,,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q09,2,A,0,"#049 SFP 드라이버 설치, 홈페이지 구매 보증",,,,,,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q09,2,B,0,"#049 전부 단정, 조건·예외 표시 없음",,,,,,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q09,2,C,1,"#049 일반론 위주, 빈틈 큼",,,,,,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q09,2,D,1,"#049 ② 미사용, A/S 구분은 일부만(△)",,,,,,Y,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q09,2,E,3,#049 형식·분량 문제 없음,,,,,,Y,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q09,1,A,0,"#062 FPDU Failure, LPD, 관리 도구, 서드파티도 Cisco A/S",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q09,1,B,1,#062 일반 면책 문구 또는 지시문 되읊기 수준,Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q09,1,C,1,"#062 일반론 위주, 빈틈 큼",Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q09,1,D,1,#062 Module Name으로 정품 확인이 섞임(②×),Y,Y,,Y,,,v2.1,2026-09-17T10:00:00
